,3'Flank,3'UTR,5'Flank,5'UTR,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site
SBS90,0.0005410468524263953,0.0006089120723806116,0.0008061458432432283,0.0004820984337120277,0.0010069646598953744,0.003703086420405463,0.0005485895569223074,0.00042286659433768257,0.001084672118899543,0.0013202628750806742,0.0010920224835625852,0.000539789825691983
SBS91,0.00046931526542900716,0.0005497352247232788,0.0007499873200891594,0.00044115123893431296,0.0009514220161878431,0.0034645463623095437,0.0005516117198746353,0.0004137038333850678,0.0011046285564333973,0.0012860883308188514,0.0010145567508282828,0.0005322188721604923
SBS92,0.0004097200456001099,0.0004801650563910956,0.0007046600272083266,0.00040411746834445605,0.0008765154373302658,0.0036314515895379093,0.0004621712373246509,0.00034186559513841994,0.0009569051385726178,0.0011415069669298552,0.0009456506978633349,0.0005069559228598936
SBS93,0.0004342164901575374,0.0005202536792603478,0.0007343289816799231,0.0004212689777706057,0.0009245416714937576,0.003842369143103365,0.00047335132133401083,0.0003692634493155243,0.0009356604163380194,0.0011718268636729833,0.0009562255580867728,0.00047626755195138255
SBS94,0.0004046209986529207,0.00047572329933180506,0.0007314940317495672,0.00041302357006752584,0.0009020852495116066,0.003497580985895981,0.0004744365245013596,0.00034513257412219553,0.0009901284691257405,0.0011820175162315357,0.0009348687359096568,0.0004836684481762024
SBS95,0.00040621739292894774,0.0004774981497769632,0.0007898086873983282,0.00044733568238515217,0.000926905830916374,0.0032357366730354255,0.0005395247853262056,0.0003590436358728949,0.0011246623700516194,0.0013171732858186609,0.0009375826390461628,0.0005055231987553664
SBS96,0.00037603354860461053,0.0004966365464856801,0.0006886757879635198,0.00042025514116100435,0.000858150382480658,0.004382071861426635,0.00045253870073241366,0.0004157986275973816,0.0008464296431201978,0.0011538777581537308,0.0008575959347310392,0.00045410174314532733
SBS97,0.0005223953569599351,0.0006681602341579936,0.001605202068116604,0.0008914147931773918,0.00235812492470829,2.553178786813442,0.0015188542519579303,0.0004896447307976608,0.0017483065792416588,4.1238360339049,0.0014128406083222568,0.0007911726620960574
SBS98,0.0003264754490900184,0.000385545277678015,0.0011045503654150781,0.0004996881376539123,0.000888080077796233,0.003561140772236858,0.0005543321047431521,0.00032594905133484536,0.0011687065027555996,0.0013040816667499804,0.000696044590543413,0.000382180497432812
SBS99,0.00038001384538744804,0.0004624904134668353,0.0007025145225234215,0.0004016873101514592,0.0009047517672071628,0.003932544427984408,0.00044372779014349674,0.0003236194277203269,0.000890708077011469,0.001122529244701974,0.0008962623618590641,0.0004476169007708134
