,3'Flank,3'UTR,5'Flank,5'UTR,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site
SBS50,0.04110435016457927,0.04459213960757918,0.06523356300363949,0.03794193627800549,0.08339255060509583,0.20690226409732226,0.08536322468550692,0.040103621424394824,0.052535462909190804,0.17145659064256719,0.12379997168753278,0.04757432489458603
SBS51,0.04481245584600329,0.0477505314791656,0.06256718845440236,0.0399191054701651,0.09165500696475239,0.2046390573774437,0.09181625797670136,0.04146030593904024,0.0546322541822871,0.170383429417809,0.09534183842505786,0.05502256846717185
SBS52,0.04126736579529119,0.046845397113824905,0.0653414861787457,0.04084931622197676,0.08676242046083017,0.20141228430439456,0.1119621381402386,0.051295518436375025,0.05366811801748484,0.15556676999467728,0.08591546868751165,0.059113716648649284
SBS53,0.041698182254489534,0.045326176380869505,0.0617290247441321,0.04289824098078184,0.06852455388294233,0.215691008841979,0.0880892712174762,0.04572798673690019,0.048849351879202425,0.17008572409515058,0.09756725126354669,0.07381322772252971
SBS54,0.00010887348915966774,0.0002746632254848106,0.0007492108535424731,0.02007510985308005,0.039450000102002294,0.6189726770695082,0.0006626939455727902,0.0010899321246154948,0.0008251604958657952,0.2776812692853857,0.03879584831355459,0.0013145612422281528
SBS55,0.043681531813956356,0.04812687125088447,0.06500550252687212,0.040186845483445074,0.08940490426865154,0.20261642032581798,0.09007110769541221,0.04442680003392443,0.055708615615735764,0.17125319607596354,0.09891928453246542,0.05059892037687113
SBS56,0.05410214468946586,0.7456017036558289,0.022969064884750572,0.033593853267216436,0.08546738120766262,0.0008334468711488468,0.0002736008889956773,6.494893328126388e-05,0.05535984087061001,0.0009195155628522652,0.0007432686451873368,7.123052300032064e-05
SBS57,0.04203759028823259,0.04917444375635526,0.06055354715785754,0.039954981326491,0.09485927514930022,0.20763324887370238,0.09542337080332915,0.037948941707208875,0.055962302374766446,0.17588666798928584,0.09201666147045262,0.04854896910301808
SBS58,0.04435899216357892,0.04787983944425484,0.0638785650243341,0.03970391840814441,0.09191583241203102,0.2055675774863991,0.08902299986697491,0.038628915532829,0.05618396942219656,0.176889516519397,0.0940544037893197,0.051915469930540366
SBS59,0.03876627417767953,0.04541416458535394,0.08201103977070512,0.04105287990736222,0.07603863877125648,0.2191182036618346,0.0965033900430825,0.031659085784490754,0.048446663517185844,0.17294503562924943,0.09396071631558646,0.05408390783621319
